{{Passive skill
|id                                  = AscendancyDeadeye10
|int_id                              = 44482
|name                                = Avidity
|ascendancy_class                    = Deadeye
|is_notable                          = True
|icon                                = DeadeyeFrenzyChargeNotable (DeadEye)
|stat1_id                            = max_frenzy_charges
|stat1_value                         = 1
|stat2_id                            = gain_a_frenzy_charge_every_X_seconds_while_moving
|stat2_value                         = 1
|stat3_id                            = deadeye_accuracy_rating_+%_final_per_frenzy_charge
|stat3_value                         = 5
|stat_text                           = +1 to Maximum [[Frenzy Charge|Frenzy Charges]]<br>Gain a [[Frenzy Charge]] each second while Moving<br>5% more [[Accuracy Rating]] per [[Frenzy Charge]]
|connections                         = AscendancyDeadeye11
}}
