{{Mod
|id                               = SupportedByCastOnCritCorruption
|mod_groups                       = SupportedByTrigger
|domain                           = 1
|generation_type                  = 5
|required_level                   = 35
|granted_skill                    = SupportCastOnCrit, SupportCastOnCritTriggered
|mod_type                         = SupportedByCastOnCrit
|stat_text                        = [[Item socket|Socketed]] Gems are supported by [[Cast On Critical Strike Support|Level 12 Cast On Critical Strike]]
|stat1_id                         = local_display_socketed_gems_get_cast_on_crit_level
|stat1_min                        = 12
|stat1_max                        = 12
|spawn_weight1_tag                = gloves
|spawn_weight1_value              = 0
|spawn_weight2_tag                = helmet
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
