{{Passive skill
|id                                  = block_node_2936
|int_id                              = 48284
|name                                = Block and Block Recovery
|icon                                = blockstr
|stat1_id                            = dual_wield_or_shield_block_%
|stat1_value                         = 3
|stat2_id                            = block_recovery_+%
|stat2_value                         = 30
|stat_text                           = +3% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]] or holding a [[Shield]]<br>30% increased [[Block]] Recovery
|connections                         = block_notable_2938,block_node_2937,block_notable_2938
}}
