{{Passive skill
|id                                  = affliction_notable_cry_wolf
|int_id                              = 17816
|name                                = Cry Wolf
|is_notable                          = True
|icon                                = IncreasedWarcryNotable
|stat1_id                            = empowered_attack_damage_+%
|stat1_value                         = 30
|stat2_id                            = warcry_monster_power_+%
|stat2_value                         = 20
|stat_text                           = Exerted [[Attack|Attacks]] deal 30% increased Damage<br>20% increased total Power counted by Warcries
}}
