{{Mod
|id                               = PvPMasterShockAvoidanceChanceCrafted
|mod_groups                       = ReducedShockChance
|domain                           = 9
|generation_type                  = 2
|required_level                   = 20
|name                             = of Grounding
|mod_type                         = ReducedShockChance
|stat_text                        = (20-25)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 20
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
