{{Mod
|id                               = DamageTakenFromMarkedTargetUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = DamageTakenFromMarkedTarget
|mod_type                         = DamageTakenFromMarkedTarget
|game_mode                        = 0
|stat_text                        = 8% of Damage from [[Hit|Hits]] is taken from Marked Target's [[Life]] before you
|stat1_id                         = damage_removed_from_marked_target_before_life_or_es_%
|stat1_min                        = 8
|stat1_max                        = 8
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
