{{Passive skill
|id                                  = AscendancyCustomChampion11
|int_id                              = 42396
|name                                = Field Medicine
|ascendancy_class                    = Champion
|is_notable                          = True
|icon                                = OneHandedPhysicalAndLeechNotable
|stat1_id                            = magic_utility_flask_effect_+%
|stat1_value                         = 40
|stat2_id                            = flasks_apply_to_your_linked_targets
|stat2_value                         = 1
|stat_text                           = Magic Utility [[Flask|Flasks]] applied to you have 40% increased Effect<br>Non-Unique Utility [[Flask|Flasks]] you Use apply to Linked Targets
}}
