{{Mod
|id                               = SupportedByMultistrikeCorrupted
|mod_groups                       = SupportedByMultistrike
|domain                           = 1
|generation_type                  = 5
|required_level                   = 28
|granted_skill                    = SupportMultistrike
|mod_type                         = SupportedByMultistrike
|stat_text                        = [[Item socket|Socketed]] Gems are supported by [[Multistrike Support|Level 1 Multistrike]]
|stat1_id                         = local_display_socketed_gems_get_multistrike_level
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = sword
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
