{{Passive skill
|id                                  = AscendancyCustomOccultist15
|int_id                              = 34822
|name                                = <<HRB37>>
|ascendancy_class                    = Occultist
|is_notable                          = True
|icon                                = HarbingerNode1 (AtlasTrees)
|stat1_id                            = curse_area_of_effect_+%
|stat1_value                         = 100
|stat2_id                            = temporal_chains_no_reservation
|stat2_value                         = 1
|stat_text                           = 100% increased Area of Effect of Hex [[Skill|Skills]]<br>[[Temporal Chains]] has no Reservation if Cast as an Aura
}}
