{{Mod
|id                               = ArmourAppliesToChaosDamageUnique__1
|mod_groups                       = ArmourAppliesToChaosDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ArmourAppliesToChaosDamage
|stat_text                        = [[Armour]] also applies to [[Chaos Damage]] taken from [[Hit|Hits]]
|stat1_id                         = base_armour_applies_to_chaos_damage
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
