{{Mod
|id                               = MapMonstersHinderOnHitMapWorldsMaven
|mod_groups                       = MapMonstersHinderOnHit
|domain                           = 5
|generation_type                  = 2
|required_level                   = 1
|name                             = of Impedance
|mod_type                         = MapMonstersHinderOnHit
|stat_text                        = 10% increased Quantity of Items found in this Area<br>6% increased Rarity of Items found in this Area<br>Monsters Hinder on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = map_item_drop_quantity_+%
|stat1_min                        = 10
|stat1_max                        = 10
|stat2_id                         = map_item_drop_rarity_+%
|stat2_min                        = 6
|stat2_max                        = 6
|stat3_id                         = map_monsters_spells_chance_to_hinder_on_hit_%_chance
|stat3_min                        = 100
|stat3_max                        = 100
|spawn_weight1_tag                = maven_map
|spawn_weight1_value              = 600
|spawn_weight2_tag                = primordial_map
|spawn_weight2_value              = 600
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
}}
