{{Passive skill
|id                                  = AscendancyDeadeye14
|int_id                              = 24848
|name                                = Gathering Winds
|buff_id                             = tailwind
|ascendancy_class                    = Deadeye
|is_notable                          = True
|icon                                = GatherWinds (DeadEye)
|stat1_id                            = tailwind_effect_on_self_+%_per_gale_force
|stat1_value                         = 10
|stat_text                           = Gain 1 [[Gale Force]] when you use a [[Skill]]<br />10% increased Effect of [[Tailwind]] on you per [[Gale Force]]<br>You and {{Radius|nearby|6.0m}} Allies have [[Tailwind]]
|stat2_id                            = has_tailwind
|stat2_value                         = 1
|connections                         = AscendancyDeadeye19,AscendancyDeadeye19,AscendancyDeadeye3
}}
