{{Passive skill
|id                                  = affliction_notable_mob_mentality
|int_id                              = 28744
|name                                = Mob Mentality
|is_notable                          = True
|icon                                = IncreasedWarcryNotable
|stat1_id                            = empowered_attack_damage_+%
|stat1_value                         = 25
|stat2_id                            = warcry_chance_to_gain_frenzy_power_endurance_charge_%_per_power
|stat2_value                         = 5
|stat_text                           = Exerted [[Attack|Attacks]] deal 25% increased Damage<br>Warcries have 5% Chance to grant an Endurance, [[Frenzy]] or [[Power Charge]] per Power
}}
