{{Passive skill
|id                                  = affliction_notable_blast-freeze
|int_id                              = 39874
|name                                = Blast-Freeze
|is_notable                          = True
|icon                                = IncreasedNonDamageAilmentNotable
|stat1_id                            = cold_damage_+%
|stat1_value                         = 20
|stat2_id                            = spread_freeze_to_nearby_enemies
|stat2_value                         = 1
|stat_text                           = 20% increased [[Cold Damage]]<br>[[Freeze|Freezes]] you inflict spread to other Enemies within a Radius of 12
}}
