{{Mod
|id                               = ApplyDecayOnCurseUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = DecayOnHit
|mod_type                         = ApplyDecayOnCurse
|game_mode                        = 0
|stat_text                        = Inflict Decay on Enemies you [[Curse]] with Hex [[Skill|Skills]], dealing 700 [[Chaos Damage]] per Second for 8 Seconds
|stat1_id                         = deal_chaos_damage_per_second_for_8_seconds_on_curse
|stat1_min                        = 700
|stat1_max                        = 700
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
