{{Mod
|id                               = ClassicAdditionalAreasImplicit
|domain                           = 12
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ClassicAdditionalAreas
|mod_type                         = ClassicLeaguestoneAdditionalAreas
|game_mode                        = 0
|stat_text                        = +3 to Maximum [[Charge|Charges]]
|stat1_id                         = local_extra_max_charges
|stat1_min                        = 3
|stat1_max                        = 3
}}
