{{Mod
|id                               = CannotPenetrateResistancesUnique__1
|mod_groups                       = CannotPenetrateResistances
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = CannotPenetrateResistances
|stat_text                        = Your [[Hit|Hits]] cannot Penetrate or ignore [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = cannot_penetrate_or_ignore_elemental_resistances
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
