{{Passive skill
|id                                  = affliction_notable_lasting_impression
|int_id                              = 17905
|name                                = Lasting Impression
|is_notable                          = True
|icon                                = DmgHeraldSkillsNotable
|stat1_id                            = damage_over_time_+%_with_herald_skills
|stat1_value                         = 50
|stat2_id                            = damage_over_time_+%_while_affected_by_a_herald
|stat2_value                         = 30
|stat_text                           = Herald [[Skill|Skills]] deal 50% increased Damage over Time<br>30% increased Damage over Time while affected by a Herald
}}
