{{Mod
|id                               = V2GemLevelCorrupted
|mod_groups                       = IncreaseSocketedGemLevel
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = LocalIncreaseSocketedGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] Gems
|stat1_id                         = local_socketed_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = boots
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = gloves
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = body_armour
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = shield
|spawn_weight4_value              = 1000
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
|tags                             = gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
