{{Mod
|id                               = HellscapeUpsideMinionBlockAttacks2
|mod_groups                       = MinionBlockChance
|domain                           = 1
|generation_type                  = 24
|required_level                   = 45
|mod_type                         = MinionBlockChance
|stat_text                        = [[Minion|Minions]] have +(11-13)% Chance to [[Block]] [[Attack Damage]]
|stat1_id                         = minion_block_%
|stat1_min                        = 11
|stat1_max                        = 13
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = block, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
