{{Mod
|id                               = EinharMasterMinionDamageOnWeapon1h1
|domain                           = 9
|generation_type                  = 1
|required_level                   = 30
|name                             = Upgraded
|mod_groups                       = WeaponCasterDamagePrefix
|mod_type                         = MinionDamageOnWeapon
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] deal (25-34)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 25
|stat1_max                        = 34
|tags                             = damage, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
