{{Base item
|rarity_id                               = normal
|name                                    = The Greatest Intentions
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Chasing purity in the rising light means facing the darkening edges of the spirit.
|drop_level                              = 81
|tags                                    = weapon_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheGreatestIntentions
|stack_size                              = 10
|description                             = {{c|unique|{{il|html=|The Saviour}}}}<br>{{c|corrupted|[[Two-Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
