{{Base item
|rarity_id                               = normal
|name                                    = Dying Light
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Even the brightest eventually fade to darkness.
|drop_level                              = 80
|tags                                    = jewellery_divination, shaper_divination, elder_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardDyingLight
|stack_size                              = 10
|description                             = {{c|rare|[[Diamond Ring]]}}<br>{{c|default|Item Level:}} {{c|normal|100}}<br>{{c|default|Shaper + Elder Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
