{{Mod
|id                               = JunMaster2BannerAuraEffect2
|mod_groups                       = BannerEffect
|domain                           = 9
|generation_type                  = 1
|required_level                   = 81
|name                             = Gravicius'
|mod_type                         = BannerEffect
|stat_text                        = Banner [[Skill|Skills]] have (16-20)% increased Aura Effect
|stat1_id                         = banner_aura_effect_+%
|stat1_min                        = 16
|stat1_max                        = 20
|spawn_weight1_tag                = body_armour
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = unveiled_mod, aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
