{{Mod
|id                               = MinimumFrenzyChargeInfluence2
|mod_groups                       = MinimumFrenzyCharges
|domain                           = 1
|generation_type                  = 2
|required_level                   = 80
|name                             = of Redemption
|mod_type                         = MinimumFrenzyCharges
|stat_text                        = +2 to Minimum [[Frenzy Charge|Frenzy Charges]]
|stat1_id                         = base_minimum_frenzy_charges
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = shield_eyrie
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = frenzy_charge
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
