{{Mod
|id                               = AddedArmourWhileStationaryUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AddedArmourWhileStationary
|mod_type                         = AddedArmourWhileStationary
|game_mode                        = 0
|stat_text                        = +1500 [[Armour]] while [[Stationary|stationary]]
|stat1_id                         = armour_while_stationary
|stat1_min                        = 1500
|stat1_max                        = 1500
|tags                             = defences, armour
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
