{{Mod
|id                               = WeaponTreeSpellAddedChaos2h1
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 1
|generation_type                  = 31
|required_level                   = 8
|mod_type                         = WeaponTreeSpellAddedChaosDamage
|stat_text                        = Adds 2 to 5 [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 2
|stat1_max                        = 2
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 5
|stat2_max                        = 5
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = caster_unique_weapon
|spawn_weight2_value              = 250
|spawn_weight3_tag                = attack_staff
|spawn_weight3_value              = 0
|spawn_weight4_tag                = staff
|spawn_weight4_value              = 250
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
}}
