{{Mod
|id                               = UniqueJewelNodeColdDamageUnique__1
|mod_groups                       = UniqueJewelNodeAddition
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = UniqueJewelNodeColdDamage
|stat_text                        = [[Passive skill|Passive Skills]] in Radius also grant 6% increased [[Cold Damage]]
|stat1_id                         = local_unique_jewel_passives_in_radius_grant_cold_damage_+%
|stat1_min                        = 6
|stat1_max                        = 6
|tags                             = elemental_damage, damage, elemental, cold
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
