{{Mod
|id                               = NecropolisIncreasedCriticalStrikes5
|domain                           = 36
|generation_type                  = 34
|required_level                   = 78
|mod_groups                       = NecropolisIncreasedCriticalStrikes
|mod_type                         = NecropolisIncreasedCriticalStrikes
|game_mode                        = 0
|stat_text                        = All [[Hit|hits]] are [[Critical strike|Critical Strikes]]<br>+50% to Global [[Critical Strike Multiplier]]
|stat1_id                         = always_crit
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = base_critical_strike_multiplier_+
|stat2_min                        = 50
|stat2_max                        = 50
|stat3_id                         = monster_necropolis_mod_value_+%
|stat3_min                        = 200
|stat3_max                        = 200
|spawn_weight1_tag                = default
|spawn_weight1_value              = 200
}}
