{{Mod
|id                               = SynthesisImplicitSpellAddedColdDamage4
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_type                         = SpellAddedColdDamage
|stat_text                        = Adds (12-14) to (19-25) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 12
|stat1_max                        = 14
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 19
|stat2_max                        = 25
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
