{{Mod
|id                               = RageOnHitImplicitEldritchImplicit2
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_groups                       = RageOnHitImplicit
|mod_type                         = RageOnHitImplicit
|game_mode                        = 0
|stat_text                        = Gain 1 Rage on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = glove_implicit_gain_rage_on_attack_hit_cooldown_ms
|stat1_min                        = 1100
|stat1_max                        = 1100
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
}}
