{{Mod
|id                               = CurseEffectivenessEldritchImplicit3
|mod_groups                       = CurseEffectiveness
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = CurseEffectiveness
|stat_text                        = 9% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 9
|stat1_max                        = 9
|spawn_weight1_tag                = no_tier_4_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = body_armour
|spawn_weight2_value              = 500
|spawn_weight3_tag                = amulet
|spawn_weight3_value              = 500
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
