{{Mod
|id                               = GrandmasterManaReservation1
|mod_groups                       = ReducedManaReservationsCost
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = GrandmasterManaReservation
|stat_text                        = 5% reduced Reservation of [[Skill|Skills]] (Hidden)
|stat1_id                         = base_reservation_+%
|stat1_min                        = -5
|stat1_max                        = -5
|tags                             = resource, mana
}}
