{{Base item
|rarity_id                               = normal
|name                                    = Deafening Essence of Anguish
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 0
|tags                                    = essence, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEssenceAnguish4
|stack_size                              = 9
|description                             = Upgrades a normal item to rare or reforges a rare item, guaranteeing one property<br />One Handed Weapon: Adds (49-66) to (98-115) [[Fire Damage]] to [[Spell|Spells]]<br />Two Handed Weapon: Adds (66-88) to (132-155) [[Fire Damage]] to [[Spell|Spells]]<br />Gloves: Adds (11-15) to (23-27) [[Fire Damage]] to [[Attack|Attacks]]<br />Body Armour: (9-10)% chance to Avoid [[Fire Damage]] from [[Hit|Hits]]<br />Shield: (9-10)% chance to Avoid [[Fire Damage]] from [[Hit|Hits]]<br />Other Armour: (56-60)% chance to Avoid being Ignited<br />Quiver: Adds (41-55) to (81-96) [[Fire Damage]] to [[Attack|Attacks]]<br />Belt: (56-60)% chance to Avoid being Ignited<br />Other Jewellery: Adds (23-27) to (43-48) [[Fire Damage]] to [[Attack|Attacks]]
|help_text                               = Right click this item then left click a normal or rare item to apply it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|essence_level                           = 7
|essence_type                            = 4
|essence_category                        = Essence of Anguish
|essence_monster_modifier_ids            = EssenceDaemonModLifeAndDamageLevel7, EssenceDaemonPhysicalAddedAndConvertedToFire, EssenceDaemonMeteorFirestorm
|is_essence                              = True
}}
