{{Mod
|id                               = ChargeBonusMaximumPowerCharges
|mod_groups                       = IncreasedMaximumPowerCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = IncreasedMaximumPowerCharges
|stat_text                        = +1 to Maximum [[Power Charge|Power Charges]]
|stat1_id                         = max_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
