{{Passive skill
|id                                  = dagger_poison2529
|int_id                              = 3863
|name                                = Dagger Critical Strike Multiplier and Poison Duration
|icon                                = masterydaggerdex
|stat1_id                            = critical_strike_multiplier_with_dagger_+
|stat1_value                         = 15
|stat2_id                            = base_poison_duration_+%
|stat2_value                         = 5
|stat_text                           = +15% to [[Critical Strike Multiplier]] with [[Dagger|Daggers]]<br>5% increased [[Poison]] Duration
|connections                         = adder's_touch443,dagger_poison2528
}}
