{{Mod
|id                               = ManaReservationEfficiencyUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ReducedManaReservationsCost
|mod_type                         = ManaReservationEfficiency
|game_mode                        = 0
|stat_text                        = (-15-15)% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]]
|stat1_id                         = base_mana_reservation_efficiency_+%
|stat1_min                        = -15
|stat1_max                        = 15
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
