{{Mod
|id                               = AddedPhysicalDamageImplicitQuiver12New
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 77
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (12-15) to (24-27) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 12
|stat1_max                        = 15
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 24
|stat2_max                        = 27
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
