{{Passive skill
|id                                  = atlas_keystone_quantity_converted_to_rarity
|int_id                              = 65205
|name                                = Meticulous Appraiser
|flavour_text                        = Within every treasure can be found shades of gold, should one have the patience to look.
|is_keystone                         = True
|is_atlas_passive                    = True
|icon                                = MeticulousAppraiser (AtlasTrees)
|stat1_id                            = map_item_drop_quantity_instead_applies_to_map_item_drop_rarity_at_3_times_value
|stat1_value                         = 1
|stat_text                           = Modifiers to Quantity of Items found in your Maps instead apply to Rarity of Items found in your Maps at 300% of their value
}}
