{{Passive skill
|id                                  = AscendancyChampion5
|int_id                              = 25111
|name                                = Armour and Evasion, Aura Effect
|ascendancy_class                    = Champion
|icon                                = AnEAura (Champion)
|stat1_id                            = evasion_and_physical_damage_reduction_rating_+%
|stat1_value                         = 15
|stat2_id                            = non_curse_aura_effect_+%
|stat2_value                         = 5
|stat_text                           = 15% increased [[Evasion Rating]] and [[Armour]]<br>5% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|connections                         = AscendancyChampion11,AscendancyChampionStart
}}
