{{Item
|rarity_id                               = normal
|name                                    = Beyond Scarab
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The silent wall and the raging storm oppose the endless swarm.
|drop_level                              = 68
|tags                                    = scarab, scarab_grants_extra_content, beyond_scarab, common_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabBeyond1
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Slaying enemies close together in Area can attract monsters from Beyond this realm
|stack_size_currency_tab                 = 5000
|map_fragment_limit                      = 1
|map_fragment_bonus1                     = ScarabBeyond1
}}
