{{Item
|rarity_id                               = normal
|name                                    = The Last One Standing
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The strongest emerge from suffering. The toughest bear the most scars. The sole survivor claims the greatest of rewards.
|drop_level                              = 80
|tags                                    = weapon_divination, unique_divination, unique_weapon_divination, boss_drop_card, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheLastOneStanding
|stack_size                              = 10
|description                             = {{c|unique|{{il|html=|Atziri's Disfavour}}}}
|stack_size_currency_tab                 = 5000
}}
