{{Passive skill
|id                                  = shock_attacks_notable2681
|int_id                              = 46471
|name                                = Powerful Bond
|is_notable                          = True
|icon                                = clustersLink3
|stat1_id                            = link_skills_grant_redirect_curses_to_link_source
|stat1_value                         = 1
|stat2_id                            = link_effect_+%_when_50%_expired
|stat2_value                         = 20
|stat_text                           = [[Curse|Curses]] are inflicted on you instead of Linked targets<br>20% increased Buff Effect of your Links for which 50% of Link Duration has Expired
|connections                         = mastery_curse73,shock_attacks2682
}}
