{{Mod
|id                               = CriticalStrikeChanceSupportedUber1
|mod_groups                       = CriticalStrikeChanceIncrease
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of Shaping
|granted_skill                    = SupportIncreasedCriticalStrikes
|mod_type                         = CriticalStrikeChanceSupported
|stat_text                        = (22-25)% increased [[Critical Strike Chance]]<br>[[Item socket|Socketed]] Gems are Supported by [[Increased Critical Strikes Support|Level 18 Increased Critical Strikes]]
|stat1_id                         = local_critical_strike_chance_+%
|stat1_min                        = 22
|stat1_max                        = 25
|stat2_id                         = local_display_socketed_gems_supported_by_level_x_increased_critical_strikes
|stat2_min                        = 18
|stat2_max                        = 18
|spawn_weight1_tag                = grants_crit_chance_support
|spawn_weight1_value              = 0
|spawn_weight2_tag                = sword_shaper
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = axe_shaper
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = mace_shaper
|spawn_weight4_value              = 1000
|spawn_weight5_tag                = claw_shaper
|spawn_weight5_value              = 1000
|spawn_weight6_tag                = sceptre_shaper
|spawn_weight6_value              = 1000
|spawn_weight7_tag                = dagger_shaper
|spawn_weight7_value              = 1000
|spawn_weight8_tag                = rune_dagger_shaper
|spawn_weight8_value              = 1000
|spawn_weight9_tag                = wand_shaper
|spawn_weight9_value              = 1000
|spawn_weight10_tag               = default
|spawn_weight10_value             = 0
|tags                             = support, attack, critical, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
