{{Passive skill
|id                                  = affliction_notable_capacitor
|int_id                              = 22002
|name                                = Capacitor
|is_notable                          = True
|icon                                = LightningResistNotable
|stat1_id                            = shocked_effect_on_self_+%
|stat1_value                         = -30
|stat2_id                            = unaffected_by_shocked_ground
|stat2_value                         = 1
|stat3_id                            = cannot_be_shocked_if_you_have_been_shocked_recently
|stat3_value                         = 1
|stat_text                           = 30% reduced Effect of [[Shock]] on you<br>Unaffected by [[Shock|Shocked]] Ground<br>You cannot be [[Shock|Shocked]] if you've been [[Shock|Shocked]] [[Recently]]
}}
