{{Mod
|id                               = DecayOnHitEssenceMonster1
|mod_groups                       = DecayOnHit
|domain                           = 3
|generation_type                  = 11
|required_level                   = 1
|mod_type                         = DecayOnHitVariable
|stat_text                        = Your [[Hit|Hits]] inflict Decay, dealing 250 [[Chaos Damage]] per second for 8 seconds (Hidden)
|stat1_id                         = deal_chaos_damage_per_second_for_10_seconds_on_hit
|stat1_min                        = 250
|stat1_max                        = 250
|tags                             = chaos_damage, damage, chaos
}}
