{{Mod
|id                               = BeltIncreasedFlaskChargesGained1
|mod_groups                       = BeltFlaskCharges
|domain                           = 1
|generation_type                  = 2
|required_level                   = 2
|name                             = of Refilling
|mod_type                         = BeltIncreasedFlaskChargesGained
|stat_text                        = (5-10)% increased Flask [[Charge|Charges]] gained
|stat1_id                         = charges_gained_+%
|stat1_min                        = 5
|stat1_max                        = 10
|spawn_weight1_tag                = belt
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
