{{Mod
|id                               = TinctureIgnorePhysDR2
|mod_groups                       = ArmourPenetration
|domain                           = 34
|generation_type                  = 2
|required_level                   = 62
|name                             = of Crushing
|mod_type                         = TinctureIgnorePhysDR
|stat_text                        = Melee Weapon [[Hit|Hits]] have (40-49)% chance to ignore Enemy [[Physical Damage]] Reduction
|stat1_id                         = hits_ignore_enemy_monster_physical_damage_reduction_%_chance_with_tinctured_weapons
|stat1_min                        = 40
|stat1_max                        = 49
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
