{{Base item
|rarity_id                               = normal
|name                                    = Omen of Brilliance
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = currency, default
|metadata_id                             = Metadata/Items/Currency/AncestralOmenOnLevelingUpGainExperienceBuff
|stack_size                              = 1
|description                             = Will be Consumed when you level up<br>to grant 100% increased Experience gained for 60 seconds
|help_text                               = Each player can only consume one Omen in each combat area.
}}
