{{Passive skill
|id                                  = AscendancyCustomJuggernaut11
|int_id                              = 32105
|name                                = Born under Fire
|buff_id                             = custom_ascendancy_nearby_enemies_convert_physical_damage_to_fire
|ascendancy_class                    = Juggernaut
|is_notable                          = True
|icon                                = JuggernautArmourNotable (Juggernaut)
|stat1_id                            = local_nearby_enemies_base_physical_damage_%_to_convert_to_fire
|stat1_value                         = 50
|stat_text                           = [[Nearby]] Enemies Convert 50% of their [[Physical Damage]] to Fire<br>
|stat2_id                            = base_physical_damage_%_to_convert_to_fire
|stat2_value                         = 50
}}
