{{Passive skill
|id                                  = affliction_notable_stormrider
|int_id                              = 37478
|name                                = Stormrider
|is_notable                          = True
|icon                                = IncreasedNonDamageAilmentNotable
|stat1_id                            = chance_to_grant_power_charge_on_shocking_chilled_enemy_%
|stat1_value                         = 10
|stat2_id                            = cold_hit_damage_+%_vs_shocked_enemies
|stat2_value                         = 25
|stat3_id                            = lightning_hit_damage_+%_vs_chilled_enemies
|stat3_value                         = 25
|stat_text                           = 10% chance to gain a [[Power Charge]] when you [[Shock]] a Chilled Enemy<br>25% increased [[Cold Damage]] with [[Hit|Hits]] against [[Shock|Shocked]] Enemies<br>25% increased [[Lightning Damage]] with [[Hit|Hits]] against Chilled Enemies
}}
