{{Mod
|id                               = SynthesisImplicitMinionDamageJewel2_
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (4-5)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 4
|stat1_max                        = 5
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
