{{Mod
|id                               = LocalIncreaseSocketedGemUnsetRing3
|mod_groups                       = IncreaseSocketedGemLevel
|domain                           = 1
|generation_type                  = 1
|required_level                   = 76
|name                             = Flawless
|mod_type                         = LocalIncreaseSocketedGemLevel
|stat_text                        = +3 to [[Level]] of [[Item socket|Socketed]] Gems
|stat1_id                         = local_socketed_gem_level_+
|stat1_min                        = 3
|stat1_max                        = 3
|spawn_weight1_tag                = unset_ring
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
