{{Passive skill
|id                                  = ailmentres_notable2763
|int_id                              = 11820
|name                                = Anointed Flesh
|is_notable                          = True
|icon                                = ElementalAilmentResistance
|stat1_id                            = additional_maximum_all_elemental_resistances_%
|stat1_value                         = 1
|stat2_id                            = self_elemental_status_duration_-%
|stat2_value                         = 20
|stat3_id                            = shocked_chilled_effect_on_self_+%
|stat3_value                         = -20
|stat_text                           = +1% to all maximum [[Elemental Resistance|Elemental Resistances]]<br>20% reduced Elemental Ailment Duration on you<br>20% reduced Effect of Chill and [[Shock]] on you
|connections                         = mastery_resistance260,ailmentres_cold2761,ailmentres_fire2760,ailmentres_lightning2762,mastery_resistance260
}}
