{{Mod
|id                               = MonsterArchnemesisLivingCrystals__
|mod_groups                       = MonsterArchnemesisLivingCrystals
|domain                           = 3
|generation_type                  = 3
|required_level                   = 34
|name                             = Crystalline
|granted_buff_id                  = archnemesis_living_crystals
|granted_buff_value               = 0
|mod_type                         = MonsterArchnemesisLivingCrystals
|stat_text                        = +40% to all [[Elemental Resistance|Elemental Resistances]] (Hidden)<br>Gain 40% of [[Physical Damage]] as Extra Damage of a random Element (Hidden)
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 40
|stat1_max                        = 40
|stat2_id                         = physical_damage_%_to_add_as_random_element
|stat2_min                        = 40
|stat2_max                        = 40
|stat3_id                         = dropped_items_are_converted_to_gems
|stat3_min                        = 1
|stat3_max                        = 1
|spawn_weight1_tag                = magic
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 200
}}
