{{Mod
|id                               = SanctumSpecialMaximumFrenzyCharge
|mod_groups                       = MaximumFrenzyCharges
|domain                           = 32
|generation_type                  = 2
|required_level                   = 84
|name                             = of Deepening Fervour
|mod_type                         = MaximumFrenzyCharges
|stat_text                        = +1 to Maximum [[Frenzy Charge|Frenzy Charges]]
|stat1_id                         = max_frenzy_charges
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = dex_special_relic
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 50
|tags                             = frenzy_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
