{{Base item
|rarity_id                               = normal
|name                                    = The White Knight
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Where Decay festers, I shall expunge it, and leave in its place a shining monument.
|drop_level                              = 80
|tags                                    = armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheWhiteKnight
|stack_size                              = 8
|description                             = {{c|white|Six-Link Astral Plate}}<br>{{c|default|Item Level:}} {{c|normal|100}}<br>{{c|default|Crusader Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
