{{Passive skill
|id                                  = AscendancyCustomRaider17
|int_id                              = 14442
|name                                = Greatwolf's Call
|buff_id                             = tailwind
|ascendancy_class                    = Warden
|is_notable                          = True
|icon                                = BestiaryNotable4 (AtlasTrees)
|stat1_id                            = guardian_nearby_allies_share_charges
|stat1_value                         = 1
|stat_text                           = You and [[Nearby|nearby]] Party Members Share [[Charge|Power, Frenzy and Endurance Charges]] with each other<br>You and {{Radius|nearby|6.0m}} Allies have [[Tailwind]]
|stat2_id                            = has_tailwind
|stat2_value                         = 1
}}
