{{Mod
|id                               = MinionDamageInfluenceMaven
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 83
|name                             = Elevated Redeemer's
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (31-45)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 31
|stat1_max                        = 45
|spawn_weight1_tag                = gloves_eyrie
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
