{{Mod
|id                               = AddedFireDamagePerStrengthUber1
|mod_groups                       = AddedFireDamagePerStrength
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Shaper's
|mod_type                         = AddedFireDamagePerStrength
|stat_text                        = Adds (1-2) to (3-4) [[Fire Damage]] to [[Attack|Attacks]] with this Weapon per 10 [[Strength]]
|stat1_id                         = attack_minimum_added_fire_damage_per_10_strength
|stat1_min                        = 1
|stat1_max                        = 2
|stat2_id                         = attack_maximum_added_fire_damage_per_10_strength
|stat2_min                        = 3
|stat2_max                        = 4
|spawn_weight1_tag                = sword_shaper
|spawn_weight1_value              = 200
|spawn_weight2_tag                = axe_shaper
|spawn_weight2_value              = 200
|spawn_weight3_tag                = mace_shaper
|spawn_weight3_value              = 200
|spawn_weight4_tag                = sceptre_shaper
|spawn_weight4_value              = 200
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
|generation_weight1_tag           = has_attack_mod
|generation_weight1_value         = 100
|generation_weight2_tag           = has_caster_mod
|generation_weight2_value         = 65
|generation_weight3_tag           = default
|generation_weight3_value         = 100
|tags                             = elemental_damage, damage, elemental, fire, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
