{{Mod
|id                               = FasterIgniteInfluenceMaven
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 2
|required_level                   = 83
|name                             = of the Elevated Hunt
|mod_type                         = FasterIgniteDamageMaven
|stat_text                        = [[Ignite|Ignites]] you inflict deal Damage (11-15)% faster<br>(10-20)% increased [[Ignite]] Duration on Enemies
|stat1_id                         = faster_burn_%
|stat1_min                        = 11
|stat1_max                        = 15
|stat2_id                         = ignite_duration_+%
|stat2_min                        = 10
|stat2_max                        = 20
|spawn_weight1_tag                = boots_basilisk
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental, fire, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
