{{Passive skill
|id                                  = AscendancyCustomDeadeye10
|int_id                              = 2266
|name                                = there is more
|ascendancy_class                    = Deadeye
|is_notable                          = True
|icon                                = ManaFlasksOften
|stat1_id                            = maximum_power_and_frenzy_charges_+
|stat1_value                         = 1
|stat2_id                            = base_minimum_frenzy_charges
|stat2_value                         = 4
|stat3_id                            = base_minimum_power_charges
|stat3_value                         = 4
|stat_text                           = +1 to Maximum [[Frenzy Charge|Frenzy Charges]] and Maximum [[Power Charge|Power Charges]]<br>+4 to Minimum [[Frenzy Charge|Frenzy Charges]]<br>+4 to Minimum [[Power Charge|Power Charges]]
}}
