{{Mod
|id                               = RemoteMineArmingSpeedUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MineArmingSpeed
|mod_type                         = MineArmingSpeed
|game_mode                        = 0
|stat_text                        = [[Mine|Mines]] have (40-50)% increased Detonation Speed
|stat1_id                         = mine_detonation_speed_+%
|stat1_min                        = 40
|stat1_max                        = 50
|tags                             = speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
