{{Mod
|id                               = ImmuneToShockedGroundUber1
|mod_groups                       = GroundEffectEffectiveness
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Elder's
|mod_type                         = ShockedGroundEffectEffectiveness
|stat_text                        = Unaffected by [[Shock|Shocked]] Ground
|stat1_id                         = unaffected_by_shocked_ground
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = boots_elder
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
